StructureName,A1_Radius,A2_Radius,X_Electronegativity,B_Radius,B_Electronegativity,stddev_thermal_conductivity,stddev_mendeleev_no,stddev_X,stddev_atomic_mass,meanblock,stddev_melting_point,OctahedralFactor,ToleranceFactor,NEWToleranceFactor,GLLBSC_SOC_BandGap
3-Py_AA_MgI3,272,300,2.66,72,1.31,75.2522660707471,8.71707490836136,0.460208210094796,56.6917640340544,1.46875,1717.96114406124,0.327272727,1.225328874,4.935384624,3.934452099
3-Py_AA_PbI3,272,300,2.66,119,2.33,64.8587414532549,6.48883980514288,0.323229501939983,76.5471955274639,1.53125,1719.36209793246,0.540909091,1.05544552,3.589585865,1.5255635459
3-Py_Az_BeBr3,272,284,2.96,45,1.57,68.8643228872773,25.2076243292446,0.599154359031081,49.0063658580078,1.45454545454545,1831.7743370451,0.229591837,1.390741138,6.748152014,5.0053371204
3-Py_Az_HfBr3,272,284,2.96,109,1.3,68.7959682407526,15.0008107888982,0.513624902570485,57.9276238776635,1.57575757575758,1888.22837556516,0.556122449,1.098913489,3.522219003,1.23132196290295
3-Py_Az_HgI3,272,284,2.66,102,2,69.0449480916821,8.51675613923137,0.323168017550573,75.5602917290638,1.57575757575758,1832.43799770895,0.463636364,1.093599929,3.875154089,2.91129398232273
3-Py_Az_InI3,272,284,2.66,104,1.78,70.2291963155953,7.27881041661899,0.352220370207615,62.0903155247452,1.51515151515152,1826.95943471076,0.472727273,1.086849312,3.834053024,1.10272413085545
3-Py_Az_PbCl3,272,284,3.16,119,2.33,68.7698165806998,6.50031184283139,0.458311825867203,58.8016632716975,1.51515151515152,1843.21595108599,0.657458564,1.081873375,3.27426828,3.8259013681
3-Py_Az_PbI3,272,284,2.66,119,2.33,68.7154801718109,6.57719236904771,0.300352945535568,76.8336483761431,1.51515151515152,1823.59441955916,0.540909091,1.038758634,3.601999372,1.5243105859
3-Py_Az_SnBr3,272,284,2.96,115,1.96,69.503363539211,6.29285308902091,0.412030896243788,45.4247170034427,1.51515151515152,1835.57951249507,0.586734694,1.077712586,3.44301495,2.23511050685307
3-Py_Az_SnI3,272,284,2.66,115,1.96,69.4607767094521,6.35248408530506,0.327722278601702,62.5511107773702,1.51515151515152,1825.31145592049,0.522727273,1.051161722,3.651710602,1.3386154288
3-Py_Cs_AgBr3,272,167,2.96,94,1.93,146.436512267609,23.6549785679405,0.589900497274822,51.3305556514386,1.68181818181818,1628.09332130516,0.479591837,1.013113336,3.838583028,0.470410386469165
3-Py_Cs_AgI3,272,167,2.66,94,1.93,146.382398159297,23.5805894518146,0.5037914261924,67.5285090163749,1.68181818181818,1612.08625628973,0.427272727,0.9897243,4.093902177,0.79529095683182
3-Py_Cs_CaBr3,272,167,2.96,100,1,83.3838344510097,34.4314516376881,0.74460212223844,45.1420880987858,1.5,1625.55678157104,0.510204082,0.992577255,3.751974212,5.45115899398261
3-Py_Cs_CaI3,272,167,2.66,100,1,83.3188754670821,34.3273162493659,0.664648995555412,64.6089744392473,1.5,1609.82346016454,0.454545455,0.97116697,3.991974212,4.34361247744059
3-Py_Cs_CdBr3,272,167,2.96,95,1.69,65.2185218168457,23.2402774776372,0.618838914589204,52.0686321115061,1.68181818181818,1625.87414721846,0.484693878,1.009631847,3.822076519,2.79508777840695
3-Py_Cs_GaI3,272,167,2.66,62,1.81,61.2297713357515,22.6874024966323,0.517027468627071,64.9466800081121,1.59090909090909,1620.43153542983,0.281818182,1.102033441,5.348792571,2.2808473279
3-Py_Cs_GeI3,272,167,2.66,73,2.01,62.0351980398182,22.5084391785424,0.496554148204853,65.0605234061566,1.59090909090909,1611.56479017079,0.331818182,1.060660172,4.744981221,2.8457651155
