StructureName,A1_Radius,A2_Radius,X_Electronegativity,B_Radius,B_Electronegativity,stddev_thermal_conductivity,stddev_mendeleev_no,stddev_X,stddev_atomic_mass,meanblock,stddev_melting_point,OctahedralFactor,ToleranceFactor,NEWToleranceFactor,GLLBSC_SOC_BandGap
3-Py_AA_AgCl3,272,300,3.16,94,1.93,133.353414814717,9.22296184585429,0.496549438160809,31.8003136036844,1.59375,1740.6771003735,0.519337017,1.200795879,3.659926915,1.6
3-Py_AA_AgI3,272,300,2.66,94,1.93,133.306347888756,9.23934771607214,0.354571584314594,61.0340166668562,1.59375,1721.4407865472,0.427272727,1.139477807,4.074820532,1.6
3-Py_AA_BaBr3,272,300,2.96,135,0.89,64.932904823062,25.2347799207177,0.61374727232446,48.789875991767,1.46875,1728.24483898277,0.68877551,1.029684195,3.273845262,1.6
3-Py_AA_BaCl3,272,300,3.16,135,0.89,64.9455147859593,25.2740442138643,0.667175156218838,39.5198529311798,1.46875,1737.15952986768,0.745856354,1.044996414,3.162734151,1.6
3-Py_AA_BaI3,272,300,2.66,135,0.89,64.8957923578818,25.204124645773,0.553898331234657,64.6927638875156,1.46875,1718.37848964676,0.613636364,1.007876144,3.45162304,1.6
3-Py_AA_BeBr3,272,300,2.96,45,1.57,64.932904823062,25.2347799207177,0.61374727232446,48.789875991767,1.46875,1728.24483898277,0.229591837,1.414213562,6.792236888,1.6
3-Py_AA_BeCl3,272,300,3.16,45,1.57,64.9455147859593,25.2740442138643,0.667175156218838,39.5198529311798,1.46875,1737.15952986768,0.248618785,1.461145428,6.458903555,1.6
3-Py_AA_BeI3,272,300,2.66,45,1.57,64.8957923578818,25.204124645773,0.553898331234657,64.6927638875156,1.46875,1718.37848964676,0.204545455,1.350173703,7.325570222,1.6
3-Py_AA_CaBr3,272,300,2.96,100,1,81.7945931727168,24.6614897285272,0.589768506073614,35.5282035929071,1.46875,1729.5362121635,0.510204082,1.151437394,3.68167981,1.6
3-Py_AA_CaCl3,272,300,3.16,100,1,81.8087581187424,24.7003044923905,0.644611797710761,17.2718068254705,1.46875,1738.54900775853,0.552486188,1.17515611,3.53167981,1.6
3-Py_AA_CaI3,272,300,2.66,100,1,81.7528256600612,24.6314856237624,0.528255413140845,56.7502736791102,1.46875,1719.54121643688,0.454545455,1.118112598,3.92167981,1.6
3-Py_AA_CdBr3,272,300,2.96,95,1.69,67.8705501153668,8.17173854968267,0.461724935395942,44.0739232628096,1.59375,1728.82402983243,0.484693878,1.171221541,3.794748098,1.6
3-Py_AA_CdCl3,272,300,3.16,95,1.69,67.8847873743718,8.16762413640671,0.525593701917934,32.9643628086362,1.59375,1737.36601743254,0.524861878,1.19644517,3.636853361,1.6
3-Py_AA_CdI3,272,300,2.66,95,1.69,67.8286050490511,8.20253086583903,0.389069132566394,61.535159851566,1.59375,1719.44119342508,0.431818182,1.135860417,4.047379677,1.6
