A1_A2_BX3,PymatgenData std_dev X,PymatgenData mean group,PymatgenData std_dev block,PymatgenData std_dev atomic_radius,PymatgenData std_dev mendeleev_no,PymatgenData std_dev melting_point,X-electro_negativity,B-radius,B-Electro-negativity,A1-radius,A2-radius,OctahedralFactor,ToleranceFactor,NEWToleranceFactor,formation energy(ev)
GUA_MA_ZrCl3,0.647017931,8.076923077,0.747878355,0.484155739,16.77316258,1313.535141,3.16,109,1.33,280,238,0.602209945,1.072851668,3.406016901,3.577907236
GUA_Py_CaCl3,0.664192704,8.551724138,0.583874208,0.500064931,25.14922993,1640.191934,3.16,100,1,280,322,0.552486188,1.212902023,3.541545987,1.19938379
GUA_Py_SrCl3,0.674847987,8.551724138,0.583874208,0.54504855,25.44270365,1639.062158,3.16,118,0.95,280,322,0.651933702,1.13988451,3.257923949,0.927651507
GUA_Py_ZrCl3,0.598311748,8.689655172,0.704807241,0.448509436,15.52020049,1686.326278,3.16,109,1.33,280,322,0.602209945,1.175260236,3.379166483,1.148244415
GUA_TiZ_SrCl3,0.679144352,9.185185185,0.568982431,0.541804539,25.68591418,1507.283198,3.16,118,0.95,280,320,0.651933702,1.137519605,3.25855669,0.427300677
GUA_TroP_MgCl3,0.569021954,8.625,0.586230132,0.428058993,8.473122243,1880.947152,3.16,72,1.31,280,333,0.397790055,1.362508126,4.452648086,0.772370639
GUA_TroP_SrCl3,0.638424189,8.625,0.586230132,0.528640631,24.39032882,1880.545656,3.16,118,0.95,280,333,0.651933702,1.152891491,3.255079522,0.929990308
GUA_TroP_ZrCl3,0.565460002,8.75,0.695577094,0.437078638,14.90848092,1904.90748,3.16,109,1.33,280,333,0.602209945,1.188670882,3.380357543,-1.901776232
HA_AA_PbCl3,0.530701004,9.2,0.584997626,0.534758512,6.62922821,1192.80325,3.16,119,2.33,226,300,0.657458564,1.046518036,3.307892293,-0.028524583
HA_AA_SrCl3,0.751667184,8.24,0.588784058,0.584018645,27.56995144,1209.356457,3.16,118,0.95,226,300,0.651933702,1.050018096,3.314807393,0.513160786
HA_Az_PbCl3,0.523650088,8.846153846,0.59284436,0.537252424,6.689153151,1413.16424,3.16,119,2.33,226,284,0.657458564,1.027661855,3.33264012,-0.256440438
HA_Az_SnCl3,0.555358266,8.846153846,0.59284436,0.460965877,6.41063447,1413.025735,3.16,115,1.96,226,284,0.635359116,1.041549178,3.358421174,-0.553470843
HA_Cs_SnCl3,0.824105941,11.06666667,0.5488213,0.698104145,27.12243547,181.3226539,3.16,115,1.96,226,167,0.635359116,0.901800033,3.763382899,-0.59645788
HA_Cs_SrCl3,1.03505893,9.466666667,0.58081787,0.800470494,41.02085864,381.88963,3.16,118,0.95,226,167,0.651933702,0.892751873,3.799244787,0.06512395
HA_Cs_ZrCl3,0.941430596,9.733333333,0.760469101,0.712876407,32.06413002,802.0773762,3.16,109,1.33,226,167,0.602209945,0.920457965,3.719616787,2.8412139
HA_DiMA_SnCl3,0.572832064,8.64,0.600925213,0.474975633,6.527364053,1216.903776,3.16,115,1.96,226,296,0.635359116,1.055882423,3.343065892,-0.291143341
HA_DiMA_SrCl3,0.759013126,7.68,0.597060702,0.604161877,28.18482321,1235.226483,3.16,118,0.95,226,296,0.651933702,1.045288285,3.320198009,0.409666438
HA_GUA_SnCl3,0.575418092,9.583333333,0.578729842,0.455666083,6.302577888,880.4381031,3.16,115,1.96,226,280,0.635359116,1.036771429,3.364171732,-0.424324512
HA_GUA_SrCl3,0.770084038,8.583333333,0.586939186,0.584897652,27.97931567,914.7978193,3.16,118,0.95,226,280,0.651933702,1.02636904,3.345035217,0.320171803
HA_HY_PbCl3,0.562039489,9.523809524,0.590243252,0.569974533,7.016110493,200.3799478,3.16,119,2.33,226,220,0.657458564,0.952237132,3.504775168,-0.09849622
