StructureName,A1_Radius,A2_Radius,X_Electronegativity,B_Radius,B_Electronegativity,stddev_thermal_conductivity,stddev_mendeleev_no,stddev_X,stddev_atomic_mass,meanblock,stddev_melting_point,OctahedralFactor,ToleranceFactor,NEWToleranceFactor,GLLBSC_SOC_BandGap
TriMA_MA_PbI3,304,238,2.66,119,2.33,58.83459833,6.88755081,0.317654072,81.68269547,1.466666667,1558.203486,0.540909091,1.024157609,3.615840168,1.578132348
3-Py_DiMA_PbI3,272,296,2.66,119,2.33,66.06980135,6.666472865,0.305347686,78.23615963,1.5,1752.584729,0.540909091,1.051273799,3.592376419,1.581152921
TetraMA_IM_PbI3,301,303,2.66,119,2.33,67.09994778,6.42619193,0.320127138,74.92129074,1.514285714,1782.215265,0.540909091,1.088819291,3.573753479,1.581270657
FM_IM_PbI3,190,303,2.66,119,2.33,58.19451658,6.465874371,0.38071338,78.31238178,1.64,1530.979759,0.540909091,0.973054022,3.693176545,1.581884337
FM_Az_AgI3,190,284,2.66,94,1.93,138.6342481,9.673486232,0.410482401,63.32791458,1.62962963,1546.210057,0.427272727,1.029133118,4.066821554,1.584218279
HA_Az_PbI3,226,284,2.66,119,2.33,53.09614329,6.786030445,0.38608674,81.37780302,1.538461538,1399.01052,0.540909091,0.990783838,3.660371212,1.585118778
DiMA_GUA_PbI3,296,280,2.66,119,2.33,51.37677259,6.62518705,0.359839044,79.70286257,1.517241379,1356.672986,0.540909091,1.059617241,3.586991122,1.585297668
DiMA_IM_PbI3,296,303,2.66,119,2.33,62.18283432,6.565339209,0.326643516,78.27520328,1.551724138,1644.421508,0.540909091,1.08360464,3.575534154,1.585663672
FM_MA_HfBr3,190,238,2.96,109,1.3,46.39542395,17.05363058,0.627697966,63.49513265,1.652173913,1406.854846,0.556122449,0.950536985,3.708365079,1.5857247
FM_Az_PbI3,190,284,2.66,119,2.33,58.28082027,6.65794595,0.376210007,79.62650869,1.555555556,1538.244424,0.540909091,0.953238345,3.73956646,1.586523613
3-Py_MA_PbI3,272,238,2.66,119,2.33,63.3559533,6.753085714,0.308680548,80.05731887,1.517241379,1676.636028,0.540909091,0.990783838,3.660371212,1.587265898
3-Py_Az_SnBr3,272,284,2.96,115,1.96,69.50336354,6.292853089,0.412030896,45.424717,1.515151515,1835.579512,0.586734694,1.077712586,3.44301495,1.587462751
HY_TiZ_PbI3,220,320,2.66,119,2.33,53.01477605,6.627714953,0.324070654,79.44985478,1.625,1386.636897,0.540909091,1.022071749,3.618069181,1.588531877
FM_TetraMA_PbI3,190,301,2.66,119,2.33,61.18231768,6.578161316,0.371888813,77.61145156,1.5,1622.286799,0.540909091,0.970968161,3.697539322,1.588834723
HY_IM_SnBr3,220,303,2.96,115,1.96,54.86396785,6.292507622,0.459648732,47.14133695,1.6,1398.382793,0.586734694,1.040197275,3.472341835,1.589574224
DiEA_DiMA_PdCl3,385,296,3.16,86,2.2,66.70915144,9.89181678,0.476554731,31.98947096,1.5,1781.052077,0.475138122,1.381109312,3.981909275,1.591401649
NH4_i-PA_SnI3,170,307,2.66,115,1.96,56.22249517,6.749382688,0.35447849,68.20108969,1.481481481,1429.845916,0.522727273,0.967786445,3.756212287,1.592482107
FM_Py_SnBr3,190,322,2.96,115,1.96,64.13815667,6.234546112,0.464409396,46.07356919,1.615384615,1675.84263,0.586734694,1.027692171,3.48610351,1.594828898
HA_DiMA_CuI3,226,296,2.66,73,1.9,134.396362,9.897156344,0.437471163,62.78754933,1.6,1243.808989,0.331818182,1.160813521,4.8199556,1.599058896
Cs_HY_HgI3,167,220,2.66,102,2,10.31717588,27.14269343,0.609360232,85.43102892,1.75,192.805545,0.463636364,0.908039298,4.119606617,1.59963927
NH4_i-PA_CdBr3,170,307,2.96,95,1.69,59.76765863,8.967534035,0.492291834,48.45914941,1.555555556,1436.164171,0.484693878,1.055800331,3.790531054,1.601336535
i-BuA_Az_PdCl3,360,284,3.16,86,2.2,69.14595542,9.711712084,0.466607547,31.30690043,1.513513514,1847.448084,0.475138122,1.332115022,3.940716907,1.606688954
HY_TroP_PbI3,220,333,2.66,119,2.33,69.73290867,6.530113637,0.294734138,77.66524585,1.586206897,1843.825859,0.540909091,1.035629843,3.604716647,1.607266361
FM_i-PA_PbI3,190,307,2.66,119,2.33,57.65231822,6.669805197,0.378461648,79.43198743,1.517241379,1524.690559,0.540909091,0.977225743,3.684785143,1.610016881
HY_Az_PbI3,220,284,2.66,119,2.33,52.97244877,6.803736962,0.342360566,81.69002459,1.518518519,1397.108578,0.540909091,0.984526256,3.671118903,1.610802861
i-BuA_MA_AgCl3,360,238,3.16,94,1.93,136.6330742,9.585519491,0.507483933,33.22476215,1.515151515,1680.718849,0.519337017,1.234222745,3.674401454,1.611172047
Cs_TroP_HfI3,167,333,2.66,109,1.3,72.91564629,26.12651664,0.572689561,77.05241597,1.739130435,1933.350321,0.495454545,1.010152545,3.781319308,1.616011806
HY_DiMA_SnBr3,220,296,2.96,115,1.96,48.74260821,6.588101677,0.47217185,49.63172641,1.5,1209.07582,0.586734694,1.032239481,3.480835485,1.61619808
Cs_i-BuA_InI3,167,360,2.66,104,1.78,62.24924888,22.09072203,0.497665648,68.77578029,1.5,1577.481141,0.472727273,1.055204101,3.840732719,1.616839363
FA_IM_SnBr3,277,303,2.96,115,1.96,59.53769932,6.187545094,0.447828978,46.16038345,1.615384615,1540.054523,0.586734694,1.104996449,3.430703215,1.616863421
