StructureName,A1_Radius,A2_Radius,X_Electronegativity,B_Radius,B_Electronegativity,stddev_thermal_conductivity,stddev_mendeleev_no,stddev_X,stddev_atomic_mass,meanblock,stddev_melting_point,OctahedralFactor,ToleranceFactor,NEWToleranceFactor,GLLBSC_SOC_BandGap
3-Py_TriMA_GeI3,272,304,2.66,73.0,2.01,68.855915,6.158387985,0.322404718,58.08230592,1.485714286,1816.473243,0.331818182,1.225973532,4.888163106,2.135396521
3-Py_TriMA_HfBr3,272,304,2.96,109.0,1.3,68.38040652,14.88345816,0.509717938,57.65869638,1.542857143,1882.923283,0.556122449,1.122097318,3.517563631,3.141825465
3-Py_TriMA_HfCl3,272,304,3.16,109.0,1.3,68.39280121,14.90215613,0.571813599,50.41750211,1.542857143,1892.427507,0.602209945,1.143562346,3.379948952,1.267635694
3-Py_TriMA_HgBr3,272,304,2.96,102.0,2.0,68.6287562,8.46732216,0.408414587,62.78646217,1.542857143,1832.550927,0.520408163,1.148455309,3.641764158,2.290255708
3-Py_TriMA_HgCl3,272,304,3.16,102.0,2.0,68.64075269,8.45810877,0.479377174,56.46873739,1.542857143,1840.589164,0.563535912,1.171848341,3.494705334,2.992558022
3-Py_TriMA_HgI3,272,304,2.66,102.0,2.0,68.59344602,8.501892626,0.323426121,75.26213792,1.542857143,1823.708494,0.463636364,1.115559767,3.877058275,3.272801286
3-Py_TriMA_MgBr3,272,304,2.96,72.0,1.31,77.82273678,8.721204386,0.507858297,35.15402232,1.428571429,1823.713759,0.367346939,1.277013739,4.607612304,3.166335643
3-Py_TriMA_MgCl3,272,304,3.16,72.0,1.31,77.83653205,8.713963984,0.570104429,15.79968222,1.428571429,1832.316672,0.397790055,1.310802689,4.399278971,1.794765353
3-Py_TriMA_MnBr3,272,304,2.96,83.0,1.55,68.64170979,12.15137608,0.466267303,36.62832399,1.542857143,1833.169779,0.423469388,1.226665527,4.150469249,1.54028297
3-Py_TriMA_MnCl3,272,304,3.16,83.0,1.55,68.65369199,12.16206568,0.532051187,19.89734705,1.542857143,1842.1812,0.458563536,1.256185911,3.969746357,1.156478393
3-Py_TriMA_MnI3,272,304,2.66,83.0,1.55,68.60644189,12.15840173,0.388840941,57.15961531,1.542857143,1823.063928,0.377272727,1.185512359,4.439625875,2.049342111
3-Py_TriMA_MoBr3,272,304,2.96,93.0,2.16,75.138465,13.23782833,0.395957919,41.51147405,1.542857143,1913.7196,0.474489796,1.184220353,3.847159821,1.94441897
3-Py_TriMA_MoCl3,272,304,3.16,93.0,2.16,75.15229195,13.25212481,0.467795017,28.83762743,1.542857143,1923.355327,0.513812155,1.210339709,3.685869499,5.277374842
3-Py_TriMA_MoI3,272,304,2.66,93.0,2.16,75.09771199,13.23979151,0.309855444,59.92953409,1.542857143,1902.740731,0.422727273,1.147636565,4.105224337,6.375835715
3-Py_TriMA_NiBr3,272,304,2.96,69.0,1.91,70.55376274,10.27975035,0.417464352,36.94802384,1.542857143,1840.21202,0.352040816,1.291470498,4.761741085,6.986191773
3-Py_TriMA_NiCl3,272,304,3.16,69.0,1.91,70.56736568,10.28227832,0.487658834,20.60060829,1.542857143,1849.347236,0.38121547,1.326532322,4.544349781,4.397858139
