yTest,yTestPreds
1.8332294674,1.9883946406435473
1.0985451498,1.3005636739529125
5.5841916609,4.831919671678156
1.8122509905,1.9583007390231524
1.2240421398,1.2605194796462253
2.0283348227,1.8947083828173061
3.4112543613,2.95915391743719
2.6563550936,2.06491880656981
6.8631562042,6.419324587523424
1.0347008777,0.636740938423838
5.9318711173,5.884142317631352
3.6495324745,3.5950124723263186
0.4823494736,0.37640497760316316
3.9046208648,4.100168234606249
7.7691363619,7.27277919040606
5.1935364889,4.8460943666277965
1.1480162246,1.4206907151195172
1.255039226,1.3424931799022293
2.0274673761,1.8460262112571877
6.499994419,6.742403849505858
1.3631915797,1.241574625971834
2.3365820732,2.206870387383679
5.7457904555,5.1223798076382625
3.7190848547,3.8481690021374955
7.9763173721,7.12121756911902
2.7843473632,2.6861192214054137
1.2333130207,1.7805172552135289
1.9060064573,1.8266183948373884
1.5450064725,1.5222056534362276
2.7667726758,2.8035854735345525
8.290926881,8.011263546414844
2.6068005546,2.306868215670614
1.7516867513,1.866635264702319
2.8701510403,2.774878549554563
4.4523325622,4.489666900689293
4.1993423447,4.734244549511663
1.7120027009,1.826760784806726
1.7074653245,1.6707254407564056
4.9737687788,4.618815319159934
0.5942612638,0.6421166389892373
2.108526672,2.166682388174982
4.4619112637,3.68825665782375
2.7509883321,2.7138516559919275
6.2580740607,6.513163483769763
7.236927272,5.279593356273458
1.3782993641,1.2218793886383896
2.0773160799,1.9740965739813
2.9926423478,2.683273191842782
4.8218029777,4.849726019003019
3.82272741,3.910332481602285
1.9151155847,1.7434794683920742
3.1185312045,3.2622872123056843
0.5549176977,0.6124189558733732
2.2494132379,2.0617715902530698
1.6200686773,1.6215507740322888
1.0965043822,1.3221702212289772
1.450990969,1.3552229088291468
5.7375685815,5.83751355204722
2.5486511898,2.293791531208643
1.6651141515,1.6738235696943418
6.2527452815,6.64763321811085
4.9882086565,5.259095028140387
2.0964691487,2.279204906290184
1.9090333825,1.708417748028385
3.4364196769,3.843541075017109
1.6111070443,1.5682854346982529
5.7434494811,5.33673937852854
3.0908509252,2.5138249713433978
6.4938863148,6.733346809210609
2.9784624635,3.462208390044645
3.7602056611,3.622167748493353
1.9658376095,1.6075228458428124
1.589297827,1.571560510474822
1.5859181366,1.6748160401163479
1.6309413271,1.6171741969413442
1.9700547936,1.9031053618812555
4.5977511009,4.069912961233185
1.6807164793,1.9181585483189558
1.3482007724,1.2162588684698061
3.2853392099,3.5099888934200023
3.5998138011,3.501295596439302
4.0222553367,4.087559483063803
2.8095304888,1.9870801400945635
7.8771910437,7.169389624933821
1.6623906692,1.833342474134493
2.2385400697,2.062536753533846
6.0691713959,6.74288332137202
3.3173613275,3.6349329111563975
4.4313342314,3.948824097714827
4.5023996768,4.427881567296624
2.3470991846,3.526339616759616
3.7130474828,3.8382761438474606
0.6623177225,1.1599528827777614
1.8230194459,1.7701948322460774
2.4895844385,2.7535596626537284
2.704123729,2.4884025681123636
6.6011768061,6.708837783065958
1.4358994327,1.7914847493124169
6.0277745051,6.09686237291645
1.3249076954,1.3824595183029091
2.206458358,2.4658304589153945
2.4831935549,1.88909102898219
0.3680208862,0.362465952942765
1.0805512258,1.36903518160118
2.1322513141,2.263792368734378
2.0175168679,2.8888029019410233
5.2721833981,4.735096224321055
1.3503846426,1.4108272861226239
1.528890782,1.4057573683011395
1.8046575571,1.9255218176079931
3.1251953977,3.6814770506198076
1.0183717735,1.255231035096126
1.6646024534,1.7368354383712787
0.4247098475,0.602609626237968
1.6811297193,2.188708403807006
4.1123411932,3.5797504956884287
0.8608720983,1.3598947921496762
