StructureName,A1_Radius,A2_Radius,X_Electronegativity,B_Radius,B_Electronegativity,stddev_thermal_conductivity,stddev_mendeleev_no,stddev_X,stddev_atomic_mass,meanblock,stddev_melting_point,OctahedralFactor,ToleranceFactor,NEWToleranceFactor,GLLBSC_SOC_BandGap
3-Py_AA_AgBr3,272,300,2.96,94,1.93,133.341504737781,9.21931658634889,0.430251050418886,43.2886714052941,1.59375,1731.5657307281,0.479591836734694,1.17526023631695,3.8195013830756,1.6
3-Py_AA_AgCl3,272,300,3.16,94,1.93,133.353414814717,9.22296184585429,0.496549438160809,31.8003136036844,1.59375,1740.6771003735,0.519337016574586,1.20079587932406,3.6599269149905,1.6
3-Py_AA_AgI3,272,300,2.66,94,1.93,133.306347888756,9.23934771607214,0.354571584314594,61.0340166668562,1.59375,1721.4407865472,0.427272727272727,1.13947780662546,4.07482053201177,1.6
3-Py_AA_BaBr3,272,300,2.96,135,0.89,64.932904823062,25.2347799207177,0.61374727232446,48.789875991767,1.46875,1728.24483898277,0.688775510204082,1.02968419496047,3.2738452623359,1.6
3-Py_AA_BaCl3,272,300,3.16,135,0.89,64.9455147859593,25.2740442138643,0.667175156218838,39.5198529311798,1.46875,1737.15952986768,0.74585635359116,1.04499641396873,3.16273415122479,1.6
3-Py_AA_BaI3,272,300,2.66,135,0.89,64.8957923578818,25.204124645773,0.553898331234657,64.6927638875156,1.46875,1718.37848964676,0.613636363636364,1.00787614445181,3.45162304011368,1.6
3-Py_AA_BeBr3,272,300,2.96,45,1.57,64.932904823062,25.2347799207177,0.61374727232446,48.789875991767,1.46875,1728.24483898277,0.229591836734694,1.4142135623731,6.792236888196,1.6
3-Py_AA_BeCl3,272,300,3.16,45,1.57,64.9455147859593,25.2740442138643,0.667175156218838,39.5198529311798,1.46875,1737.15952986768,0.248618784530387,1.46114542838105,6.45890355486267,1.6
3-Py_AA_BeI3,272,300,2.66,45,1.57,64.8957923578818,25.204124645773,0.553898331234657,64.6927638875156,1.46875,1718.37848964676,0.204545454545455,1.35017370294488,7.32557022152933,1.6
3-Py_AA_CaBr3,272,300,2.96,100,1,81.7945931727168,24.6614897285272,0.589768506073614,35.5282035929071,1.46875,1729.5362121635,0.510204081632653,1.15143739368891,3.68167980979445,1.6
3-Py_AA_CaCl3,272,300,3.16,100,1,81.8087581187424,24.7003044923905,0.644611797710761,17.2718068254705,1.46875,1738.54900775853,0.552486187845304,1.17515610965878,3.53167980979445,1.6
3-Py_AA_CaI3,272,300,2.66,100,1,81.7528256600612,24.6314856237624,0.528255413140845,56.7502736791102,1.46875,1719.54121643688,0.454545454545455,1.11811259775123,3.92167980979445,1.6
3-Py_AA_CdBr3,272,300,2.96,95,1.69,67.8705501153668,8.17173854968267,0.461724935395942,44.0739232628096,1.59375,1728.82402983243,0.48469387755102,1.17122154134679,3.79474809761877,1.6
3-Py_AA_CdCl3,272,300,3.16,95,1.69,67.8847873743718,8.16762413640671,0.525593701917934,32.9643628086362,1.59375,1737.36601743254,0.524861878453039,1.19644516961637,3.63685336077666,1.6
