names,preds
3-Py_AA_AgBr3,1.0594675090986683
3-Py_AA_AgCl3,3.5329630788583066
3-Py_AA_AgI3,0.8870384812591064
3-Py_AA_BaBr3,4.48107355041061
3-Py_AA_BaCl3,5.108778927668418
3-Py_AA_BaI3,4.370610577112042
3-Py_AA_BeBr3,4.696491386943804
3-Py_AA_BeCl3,5.805419129831237
3-Py_AA_BeI3,4.848312378172446
3-Py_AA_CaBr3,5.224443034480678
3-Py_AA_CaCl3,5.4492344790987755
3-Py_AA_CaI3,4.70108626050591
3-Py_AA_CdBr3,3.511374579676372
3-Py_AA_CdCl3,4.688230066634771
3-Py_AA_CdI3,3.5271274057393445
3-Py_AA_CoBr3,2.403082247437116
3-Py_AA_CoCl3,4.344475751220422
3-Py_AA_CoI3,1.762790504149315
3-Py_AA_CrBr3,3.8036907349747615
3-Py_AA_CrCl3,4.372800117963804
3-Py_AA_CrI3,3.3799350744499894
3-Py_AA_CuCl3,3.961372810838611
3-Py_AA_CuI3,0.8617386176089225
3-Py_AA_FeBr3,2.196529645127259
3-Py_AA_FeCl3,4.101738195518579
3-Py_AA_FeI3,1.6435780314076816
3-Py_AA_GaBr3,2.524975640380923
3-Py_AA_GaCl3,4.628740570459929
3-Py_AA_GaI3,2.1279463789496815
3-Py_AA_GeBr3,3.330227296189127
3-Py_AA_GeCl3,5.132398516459196
3-Py_AA_GeI3,2.57400392874331
3-Py_AA_HfBr3,1.4177532178985057
3-Py_AA_HfCl3,1.3439504739075345
3-Py_AA_HfI3,1.9616093607616238
3-Py_AA_HgBr3,1.9164430396862029
3-Py_AA_HgCl3,4.318677471845642
3-Py_AA_HgI3,2.637068155004508
3-Py_AA_InBr3,1.676569823232975
3-Py_AA_InCl3,3.8383581704011775
3-Py_AA_InI3,1.3081191582720464
3-Py_AA_MgBr3,4.848720432376303
3-Py_AA_MgCl3,4.857932937276401
3-Py_AA_MgI3,4.269966326424429
3-Py_AA_MnBr3,3.6692995768390957
3-Py_AA_MnCl3,4.065475523151864
3-Py_AA_MnI3,3.2433514660167715
3-Py_AA_MoBr3,1.5755134374670783
3-Py_AA_MoI3,1.0190217938375714
3-Py_AA_NiBr3,2.2673012024286354
3-Py_AA_NiCl3,4.454684281790773
3-Py_AA_NiI3,1.697111786386038
3-Py_AA_PbBr3,2.1256173933434104
3-Py_AA_PbCl3,3.9379456597702003
3-Py_AA_PdBr3,1.1219635600173132
3-Py_AA_PdCl3,2.8936821831036594
3-Py_AA_PdI3,1.0389998236899187
3-Py_AA_PtBr3,1.1981503571576904
3-Py_AA_PtCl3,2.29665690855992
3-Py_AA_PtI3,1.0055795576948707
3-Py_AA_SnBr3,1.7830370417736734
3-Py_AA_SnCl3,4.0428474364060145
3-Py_AA_SnI3,1.2250012346823353
3-Py_AA_SrBr3,5.242102380843209
3-Py_AA_SrCl3,5.492897729605979
3-Py_AA_TeCl3,1.7685004891235292
3-Py_AA_TiBr3,3.522528881246062
3-Py_AA_TiCl3,3.8144751348257038
3-Py_AA_TiI3,3.20342073071666
3-Py_AA_VBr3,3.8220123951434974
3-Py_AA_VCl3,4.373626283882372
3-Py_AA_VI3,3.394050623593495
3-Py_AA_WBr3,1.5651635420790235
3-Py_AA_WCl3,2.9926113053109353
3-Py_AA_WI3,0.8418049354593983
3-Py_AA_ZnBr3,4.186301002766123
3-Py_AA_ZnCl3,4.982183177868865
3-Py_AA_ZnI3,3.700637470646025
3-Py_AA_ZrBr3,1.829417915661761
3-Py_AA_ZrCl3,1.942937991046108
3-Py_Az_AgBr3,1.0729936440961017
3-Py_Az_AgCl3,3.507188078144266
3-Py_Az_AgI3,0.8075143534753836
3-Py_Az_BaBr3,4.442679168591137
3-Py_Az_BaCl3,4.962792909644344
3-Py_Az_BaI3,4.273229149020564
3-Py_Az_BeBr3,4.526344616851205
3-Py_Az_BeCl3,4.397315964241295
3-Py_Az_BeI3,4.5608515650097905
3-Py_Az_CaBr3,4.871763701409165
3-Py_Az_CaCl3,4.613244466781535
3-Py_Az_CaI3,4.291663663015707
3-Py_Az_CdBr3,3.661916293290902
3-Py_Az_CdCl3,4.385470939635799
3-Py_Az_CdI3,3.6171603381298874
3-Py_Az_CoBr3,2.474241794068865
3-Py_Az_CoCl3,3.6793704723465286
3-Py_Az_CoI3,1.7238490481329243
3-Py_Az_CrBr3,3.588874336788291
3-Py_Az_CrCl3,4.023402600244674
3-Py_Az_CrI3,3.1135345438694864
3-Py_Az_CuCl3,3.949623880222707
3-Py_Az_CuI3,0.8719139760514895
3-Py_Az_FeBr3,2.213363715419369
3-Py_Az_FeCl3,3.9834460128330176
3-Py_Az_FeI3,1.6381346349674675
3-Py_Az_GaBr3,2.4903598733205765
3-Py_Az_GaI3,2.123293553351784
3-Py_Az_GeBr3,3.328359419428267
3-Py_Az_GeCl3,4.99083500887844
3-Py_Az_GeI3,2.4763354591895546
3-Py_Az_HfBr3,1.5311003632237743
3-Py_Az_HfCl3,1.5731057318171089
3-Py_Az_HfI3,1.7289278328901894
3-Py_Az_HgBr3,1.9192059185481152
3-Py_Az_HgCl3,4.284872010728507
3-Py_Az_HgI3,2.5890329436883888
3-Py_Az_InBr3,1.678991325408633
3-Py_Az_InCl3,3.7982841913674807
3-Py_Az_MgBr3,4.639687079680556
3-Py_Az_MgCl3,4.071053195964569
3-Py_Az_MgI3,3.970658340979069
3-Py_Az_MnBr3,3.5048518737979104
3-Py_Az_MnCl3,4.0012652622665055
3-Py_Az_MnI3,3.4554789313543512
3-Py_Az_MoBr3,1.6987024143809295
